사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars,소재지,법정동
분식후경,한식,영업,제주특별자치도 서귀포시 성산읍 온평리 1110-4 ,제주특별자치도 서귀포시 성산읍 온평포구로62번길 22-1,43,4.7,56,0,0.0,서귀포시,성산
마노카페하우스,카페,영업,제주특별자치도 서귀포시 중문동 1700-1번지 ,제주특별자치도 서귀포시 중문상로 97 (중문동),61,4.8,138,0,0.0,서귀포시,중문
서귀피안,경양식,영업,제주특별자치도 서귀포시 서호동 153-3번지 2동 ,제주특별자치도 서귀포시 서호호근로46번길 68 (서호동),89,3.5,23,0,0.0,서귀포시,서귀포
털보네고양이,한식,영업,제주특별자치도 서귀포시 남원읍 태위로 381,제주특별자치도 서귀포시 남원읍 태위로 381,43,4.4,35,0,0.0,서귀포시,남원
괸당집서귀포신시가지,한식,영업,제주특별자치도 서귀포시 서호동 1477-3번지 ,제주특별자치도 서귀포시 김정문화로 67-1 (서호동),54,4.0,20,0,0.0,서귀포시,서귀포
기운네흑돼지,한식,영업,제주특별자치도 서귀포시 서귀동 321-3번지 ,제주특별자치도 서귀포시 서문로29번길 6 (서귀동),90,4.3,85,0,0.0,서귀포시,서귀포
카페루시아,카페,영업,제주특별자치도 서귀포시 안덕면 창천리 840-2번지 ,제주특별자치도 서귀포시 안덕면 난드르로 49-19,171,4.0,83,0,0.0,서귀포시,안덕
표선흑돼지삼형제,한식,영업,제주특별자치도 서귀포시 표선면 표선리 44-9 ,제주특별자치도 서귀포시 표선면 민속해안로 594,417,3.6,11,0,0.0,서귀포시,표선
괴기집,호프,영업,제주특별자치도 서귀포시 동홍동 176-5번지 ,제주특별자치도 서귀포시 동홍중앙로7번길 3 (동홍동),228,4.4,8,0,0.0,서귀포시,서귀포
커큐민 흑돼지,한식,영업,제주특별자치도 서귀포시 성산읍 고성리 236번지 ,제주특별자치도 서귀포시 성산읍 일출로 84,96,3.8,35,0,0.0,서귀포시,성산
