사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars
무한99부대찌개,한식,영업,제주특별자치도 제주시 조천읍 함덕리 4158-11 ,"제주특별자치도 제주시 조천읍 함덕26길 11, 1층",,,,
크랩팟테우,한식,영업,제주특별자치도 제주시 내도동 452-14 ,"제주특별자치도 제주시 테우해안로 106, 1층 (내도동)",,,,
유메야마,일식,영업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트 ,"제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 4층 (노형동)",,,,
제주백정,한식,영업,제주특별자치도 제주시 한림읍 한림리 942-8 ,제주특별자치도 제주시 한림읍 한림리 942-8 ,,,,
유안이네교래점,한식,영업,제주특별자치도 제주시 조천읍 와흘리 산 13-83 ,"제주특별자치도 제주시 조천읍 남조로 2190, 1층",,,,
반주야,한식,영업,제주특별자치도 제주시 도련일동 1917-1 ,"제주특별자치도 제주시 건주로3길 19, 1층 102호 (도련일동)",,,,
다온얏트,호프,영업,제주특별자치도 제주시 이도일동 1289-5 ,"제주특별자치도 제주시 동광로1길 32, 2층 266호 (이도일동)",,,,
남성로치킨하우스삼화점,호프,영업,제주특별자치도 제주시 도련일동 1917-1 ,"제주특별자치도 제주시 건주로3길 19, 1층 (도련일동)",,,,
피자알볼로제주외도점,양식,영업,제주특별자치도 제주시 외도일동 637-4 ,"제주특별자치도 제주시 우정로 81, 1층 (외도일동)",,,,
샤인블루스,호프,영업,제주특별자치도 제주시 일도이동 361-20 ,"제주특별자치도 제주시 동광로13길 4, 1층 (일도이동)",,,,
온차,경양식,영업,제주특별자치도 제주시 일도일동 1258 ,"제주특별자치도 제주시 서부두남길 12, 1층 (일도일동)",,,,
쿠치나꼰비니,경양식,영업,제주특별자치도 제주시 이도이동 2014-5 ,"제주특별자치도 제주시 구남동6길 15, 1층 (이도이동)",,,,
치즈앤브레드,경양식,영업,제주특별자치도 제주시 조천읍 함덕리 273-54 ,"제주특별자치도 제주시 조천읍 함덕29길 17, 1층",,,,
보스톤2081스테이크,경양식,영업,제주특별자치도 제주시 한경면 청수리 2081-1 ,"제주특별자치도 제주시 한경면 낙수로 275, 1층",,,,
우도특별시,카페,영업,제주특별자치도 제주시 우도면 연평리 133-4 ,"제주특별자치도 제주시 우도면 우도해안길 998, 1층",,,,
