사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars,소재지,법정동
방주할머니식당,한식,영업,제주특별자치도 제주시 조천읍 선흘리 2039-1 ,"제주특별자치도 제주시 조천읍 선교로 212, 제1동 1층",90,4.4,673,4.45,제주시,조천
카페훤,카페,영업,제주특별자치도 제주시 한림읍 협재리 1717번지 ,"제주특별자치도 제주시 한림읍 협재1길 8, 1~2층",59,4.4,284,4.45,제주시,한림
명월국민학교,카페,영업,제주특별자치도 제주시 한림읍 명월리 1734 ,"제주특별자치도 제주시 한림읍 명월로 48, 1층",414,3.9,0,0.0,제주시,한림
채우다,한식,영업,제주특별자치도 제주시 일도일동 1251 ,"제주특별자치도 제주시 중앙로7길 31, 1층 (일도일동)",33,4.4,0,0.0,제주시,제주
매우릉쭈꾸미,한식,영업,제주특별자치도 제주시 조천읍 함덕리 996 ,"제주특별자치도 제주시 조천읍 함덕16길 11, 1층",55,4.7,263,4.71,제주시,조천
바당고지,고기,영업,제주특별자치도 제주시 한림읍 협재리 1907-1 ,"제주특별자치도 제주시 한림읍 협재로 6, 1층",58,4.7,410,4.79,제주시,한림
카페세화숲,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1477-15 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 1460, 2층",48,5.0,297,4.81,제주시,구좌
삼계별장,한식,영업,제주특별자치도 제주시 이도이동 1985-9 ,"제주특별자치도 제주시 연북로 599, 1층 (이도이동)",30,4.1,234,4.54,제주시,제주
셰프의초밥제주,일식,영업,제주특별자치도 제주시 일도일동 1477-4 ,"제주특별자치도 제주시 관덕로15길 2, 1~2층 (일도일동)",68,3.9,373,4.39,제주시,제주
흑본오겹제주공항,한식,영업,제주특별자치도 제주시 용담삼동 2572 ,"제주특별자치도 제주시 서해안로 382, 1층 (용담삼동)",111,4.3,581,4.8,제주시,제주
용두암엄마해장국,한식,영업,제주특별자치도 제주시 용담삼동 519-9 시민 ,"제주특별자치도 제주시 용마로 24, 시민 1층 (용담삼동)",490,3.7,1361,4.72,제주시,제주
윤가네흑돼지대패삼겹살,고기,영업,제주특별자치도 제주시 조천읍 함덕리 957-3 ,"제주특별자치도 제주시 조천읍 신북로 572, 1층",165,5.0,329,4.65,제주시,조천
참멜,한식,영업,제주특별자치도 제주시 용담일동 149-3 ,"제주특별자치도 제주시 서사로 2-1, 1층 (용담일동)",624,4.7,568,4.61,제주시,제주
핏제리아필리아,양식,영업,제주특별자치도 제주시 아라일동 6095-16 ,"제주특별자치도 제주시 아란7길 12-1, 1층 (아라일동)",33,4.5,119,4.77,제주시,제주
전학생,카페,영업,제주특별자치도 제주시 한림읍 금능리 1282-9 금능석물원 ,"제주특별자치도 제주시 한림읍 한림로 176, 금능석물원 1층",72,5.0,428,4.79,제주시,한림
일월선셋비치,카페,영업,제주특별자치도 제주시 애월읍 애월리 2546 ,"제주특별자치도 제주시 애월읍 애월북서길 56-1, 1층",44,3.8,633,4.36,제주시,애월
커브커피스토어,카페,영업,제주특별자치도 제주시 삼양삼동 2568-2 ,"제주특별자치도 제주시 벌랑6길 6, 1~3층 (삼양삼동)",33,4.6,183,4.58,제주시,제주
파도소리식당,한식,영업,제주특별자치도 제주시 구좌읍 하도리 43-1 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 1950, 1층",266,4.4,0,0.0,제주시,구좌
보라지붕,카페,영업,제주특별자치도 제주시 조천읍 함덕리 960-3 ,제주특별자치도 제주시 조천읍 함덕19길 6,106,4.6,1244,4.85,제주시,조천
연희,카페,영업,제주특별자치도 제주시 한림읍 협재리 1494-1 ,"제주특별자치도 제주시 한림읍 한림로 417, 1층",43,4.8,224,4.73,제주시,한림
버거요,양식,영업,제주특별자치도 제주시 한림읍 귀덕리 957 ,"제주특별자치도 제주시 한림읍 귀덕11길 43, 1층",147,3.6,0,0.0,제주시,한림
제주해물상회,한식,영업,제주특별자치도 제주시 한림읍 월령리 203-1 ,"제주특별자치도 제주시 한림읍 한림로 16-3, 1층",114,3.7,0,0.0,제주시,한림
곱들락,한식,영업,제주특별자치도 제주시 조천읍 함덕리 951-1 ,"제주특별자치도 제주시 조천읍 함덕18길 19, 1층",311,4.2,0,0.0,제주시,조천
이스방한상,일식,영업,제주특별자치도 제주시 용담이동 436 ,"제주특별자치도 제주시 흥운길 87, 1층 (용담이동)",39,4.5,258,4.89,제주시,제주
귤당리,카페,영업,제주특별자치도 제주시 한경면 판포리 2950 ,"제주특별자치도 제주시 한경면 일주서로 4492, 1~2층 12호",67,4.3,899,4.86,제주시,한경
외도회수산,일식,영업,제주특별자치도 제주시 외도일동 642-6 ,"제주특별자치도 제주시 우정로18길 5, 1층 (외도일동)",33,4.7,0,0.0,제주시,제주
키치니토키친,경양식,영업,제주특별자치도 제주시 구좌읍 송당리 1387-17 ,"제주특별자치도 제주시 구좌읍 송당5길 18, 1층",39,4.3,251,0.0,제주시,구좌
애월연어하귀,일식,영업,제주특별자치도 제주시 애월읍 하귀2리 1714-3 ,"제주특별자치도 제주시 애월읍 하귀로 57, 1층",101,3.7,276,4.64,제주시,애월
조옹달리,카페,영업,제주특별자치도 제주시 구좌읍 종달리 486-9 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 2290, 1층",96,4.7,253,4.89,제주시,구좌
무공돈까스제주이도,경양식,영업,제주특별자치도 제주시 이도이동 1065-6 제주법조타워 ,"제주특별자치도 제주시 남광북1길 1, 제주법조타워 2층 202호 (이도이동)",122,3.7,184,4.3,제주시,제주
매력식당,분식,영업,제주특별자치도 제주시 아라일동 368-49 ,"제주특별자치도 제주시 산천단동1길 20-9, 1층 (아라일동)",30,4.1,208,4.56,제주시,제주
이공팔오,경양식,영업,제주특별자치도 제주시 조천읍 선흘리 2085 ,"제주특별자치도 제주시 조천읍 선교로 185, 제6동 1층",69,4.2,403,0.0,제주시,조천
동화로연탄구이,한식,영업,제주특별자치도 제주시 화북일동 18-4 ,"제주특별자치도 제주시 동화로1길 53-20, 1층 (화북일동)",40,4.6,135,4.55,제주시,제주
플래닛제주,경양식,영업,제주특별자치도 제주시 연동 271-7 ,"제주특별자치도 제주시 삼무로 35, 1층 (연동)",47,4.1,0,0.0,제주시,제주
갈치옥,한식,영업,제주특별자치도 제주시 조천읍 함덕리 1004-30 ,"제주특별자치도 제주시 조천읍 조함해안로 530, 2층 2호",82,4.5,1187,4.49,제주시,조천
백가네제주한상,한식,영업,제주특별자치도 제주시 조천읍 함덕리 산 14-13 ,"제주특별자치도 제주시 조천읍 함덕로 40, 1층 102, 103호",62,3.6,647,4.76,제주시,조천
듀포레,카페,영업,제주특별자치도 제주시 용담삼동 1092 ,"제주특별자치도 제주시 서해안로 579, 1~2층 (용담삼동)",171,4.5,1619,4.53,제주시,제주
리릭,경양식,영업,제주특별자치도 제주시 아라일동 6084 소랑빌 ,"제주특별자치도 제주시 아란9길 25, 소랑빌 1층 (아라일동)",35,4.8,298,4.81,제주시,제주
뚜뿔한우,한식,영업,제주특별자치도 제주시 노형동 945-1 ,"제주특별자치도 제주시 원노형10길 34, 1층 (노형동)",52,4.0,55,4.7,제주시,제주
르바게트,카페,영업,제주특별자치도 제주시 구좌읍 월정리 348-3 ,"제주특별자치도 제주시 구좌읍 월정1길 30, 가동 1층",55,4.7,452,4.77,제주시,구좌
제주도감,한식,영업,제주특별자치도 제주시 오라이동 1770 ,"제주특별자치도 제주시 연북로 257, 지하2층 (오라이동)",115,3.8,271,4.51,제주시,제주
