사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars
제주김만복애월점,한식,영업,제주특별자치도 제주시 애월읍 고내리 1105-1번지 ,"제주특별자치도 제주시 애월읍 애월해안로 255, 2층",391,4.0,445,0,0.0
쭈꾸쭈꾸쭈꾸미,한식,영업,제주특별자치도 제주시 연동 293-9번지 제1호(1층) ,"제주특별자치도 제주시 연동11길 33 (연동, 제1호)",33,3.8,10,0,0.0
오현불백,한식,영업,제주특별자치도 제주시 일도이동 1028-32 ,제주특별자치도 제주시 성지로 58-2 (일도이동),103,4.0,60,0,0.0
제주예찬,한식,영업,제주특별자치도 제주시 노형동 287-1 ,"제주특별자치도 제주시 1100로 2997, 1층 (노형동)",201,3.6,79,0,0.0
짬뽕에취한날,중식,영업,제주특별자치도 제주시 연동 311-21번지 ,제주특별자치도 제주시 귀아랑2길 4 (연동),137,3.5,61,0,0.0
하노이안브라더스,외국요리,영업,제주특별자치도 제주시 건입동 124-2 (1층) ,제주특별자치도 제주시 천수동로 1 (건입동),38,3.7,36,0,0.0
착한집,한식,영업,제주특별자치도 제주시 오라삼동 2337-12 ,제주특별자치도 제주시 서광로 98 (오라삼동),597,4.4,317,0,0.0
흑마가든,고기,영업,제주특별자치도 제주시 연동 1532-4번지 ,제주특별자치도 제주시 연화로2길 20-1 (연동),35,4.3,11,0,0.0
어머니와고등어본점,한식,영업,제주특별자치도 제주시 도두일동 1705-2 1층 ,제주특별자치도 제주시 도두일동 1705-2 1층 ,81,3.7,20,0,0.0
길리,카페,영업,제주특별자치도 제주시 구좌읍 월정리 407번지 ,"제주특별자치도 제주시 구좌읍 월정1길 65, 1층",55,4.6,51,0,0.0
하나니꾸,한식,영업,제주특별자치도 제주시 이도이동 2041-1번지 그린나래빌 ,제주특별자치도 제주시 구남동2길 51 (이도이동),39,3.7,10,0,0.0
바다위에코끼리,카페,영업,제주특별자치도 제주시 한림읍 협재리 1695 ,"제주특별자치도 제주시 한림읍 협재1길 27-6, 1층",47,4.3,36,0,0.0
잇칸시타,일식,영업,"제주특별자치도 제주시 애월읍 신엄리 953 외2필지(950,951) ","제주특별자치도 제주시 애월읍 신엄안2길 54-1, 1동 1층",264,4.3,74,0,0.0
일억조,한식,영업,제주특별자치도 제주시 한림읍 한림리 905-3번지 ,제주특별자치도 제주시 한림읍 한림상로 140,45,4.5,22,0,0.0
돈떵이서부두점,해산물,영업,"제주특별자치도 제주시 건입동 1435-2 외1필지 제2호(1층,2층) ","제주특별자치도 제주시 서부두길 26 (건입동, 제2호)",69,4.5,32,0,0.0
제주돈,한식,영업,제주특별자치도 제주시 이도이동 76-20번지 ,제주특별자치도 제주시 연신로 83 (이도이동),32,4.8,9,0,0.0
보물선,해산물,영업,제주특별자치도 제주시 용담일동 424번지 (1층) ,제주특별자치도 제주시 동한두기길 27 (용담일동),136,3.7,13,0,0.0
금능낙원,한식,영업,제주특별자치도 제주시 한림읍 금능리 1716 ,제주특별자치도 제주시 한림읍 금능길 27,56,4.0,38,0,0.0
교래퐁낭,한식,영업,제주특별자치도 제주시 조천읍 교래리 232 ,"제주특별자치도 제주시 조천읍 남조로 1773, 1층",95,4.1,55,0,0.0
달빛제주,카페,영업,제주특별자치도 제주시 애월읍 하귀2리 2597-1번지 ,"제주특별자치도 제주시 애월읍 애월해안로 929, 가동 2층",82,4.6,21,0,0.0
해성도뚜리,한식,영업,제주특별자치도 제주시 애월읍 구엄리 1258번지 ,제주특별자치도 제주시 애월읍 애월해안로 682,1150,3.6,40,0,0.0
제주순풍신제주본점,한식,영업,제주특별자치도 제주시 노형동 668 ,"제주특별자치도 제주시 진군남4길 7-8, 1층 제1호 (노형동)",534,3.7,47,0,0.0
풍차와전복,한식,영업,제주특별자치도 제주시 한경면 두모리 2637-7번지 ,"제주특별자치도 제주시 한경면 두모5길 59, 1층",166,4.4,47,0,0.0
타코밤,한식,영업,제주특별자치도 제주시 우도면 연평리 1190번지 ,"제주특별자치도 제주시 우도면 우도해안길 780-2, 1층",76,4.7,118,0,0.0
기쁨이네해물탕앤돌솥밥,한식,영업,제주특별자치도 제주시 조천읍 함덕리 1269-17 ,제주특별자치도 제주시 조천읍 신북로 527-1,92,3.8,37,0,0.0
오름,한식,영업,제주특별자치도 제주시 조천읍 교래리 524-1번지 ,제주특별자치도 제주시 조천읍 비자림로 657,368,3.7,104,0,0.0
고기가게,해산물,영업,제주특별자치도 제주시 연동 1500-5 (1층) ,제주특별자치도 제주시 국기중길 12 (연동),61,4.8,13,0,0.0
제주보말칼국수,한식,영업,제주특별자치도 제주시 삼도이동 186-4 외1필지(1층) ,제주특별자치도 제주시 관덕로8길 40 (삼도이동),90,4.7,67,0,0.0
홍돈,한식,영업,제주특별자치도 제주시 한림읍 한림리 1590-1 ,제주특별자치도 제주시 한림읍 한림로3길 10-12,297,4.7,219,0,0.0
어애랑,해산물,영업,제주특별자치도 제주시 한림읍 협재리 1510 제1호(1층) ,제주특별자치도 제주시 한림읍 한림로 422 (제1호),41,4.4,47,0,0.0
모리노아루요,한식,영업,제주특별자치도 제주시 애월읍 유수암리 1306-1 ,"제주특별자치도 제주시 애월읍 하소로 769-58, 아동 1층",49,3.5,55,0,0.0
몰돗,한식,영업,제주특별자치도 제주시 조천읍 함덕리 3037-1 ,"제주특별자치도 제주시 조천읍 함대로 2, 1층",95,4.9,75,0,0.0
호커센터,한식,영업,제주특별자치도 제주시 애월읍 애월리 1819-36번지 ,제주특별자치도 제주시 애월읍 애월로11길 25-2,58,4.5,34,0,0.0
육갑봉,한식,영업,제주특별자치도 제주시 아라이동 3008-5 (1층) ,제주특별자치도 제주시 신설로11길 2-9 (아라이동),46,4.4,18,0,0.0
함덕촐래밥상,한식,영업,제주특별자치도 제주시 조천읍 함덕리 2734-2번지 ,"제주특별자치도 제주시 조천읍 함대로 57, 1층",32,4.9,31,0,0.0
우도해녀의집,한식,영업,제주특별자치도 제주시 우도면 연평리 2649-1 ,"제주특별자치도 제주시 우도면 우도해안길 144, 1층",54,4.7,75,0,0.0
중국집마씸,중식,영업,제주특별자치도 제주시 한경면 신창리 261-3번지 ,"제주특별자치도 제주시 한경면 두신로 78, 1층",48,4.1,62,0,0.0
정담,고기,영업,제주특별자치도 제주시 이도이동 1998-1번지 ,제주특별자치도 제주시 구남로8길 6 (이도이동),265,3.5,15,0,0.0
오라숲소리,한식,영업,제주특별자치도 제주시 오라이동 1188-4 ,제주특별자치도 제주시 오라로 80 (오라이동),44,3.5,25,0,0.0
제주큰물살아있는해물탕,한식,영업,제주특별자치도 제주시 외도일동 573 ,제주특별자치도 제주시 조공포길 49 (외도일동),118,4.7,291,0,0.0
천리식당,한식,영업,제주특별자치도 제주시 구좌읍 송당리 1511-1번지 외2필지 나동(1층) ,제주특별자치도 제주시 구좌읍 송당6길 30 (나동),40,4.4,46,0,0.0
오쿠다,호프,영업,제주특별자치도 제주시 이도이동 2025-10번지 ,"제주특별자치도 제주시 구남동4길 45, 1층 (이도이동)",73,4.3,18,0,0.0
모이세본점,한식,영업,제주특별자치도 제주시 오라이동 3100-3 ,"제주특별자치도 제주시 연북로 221, 1층 (오라이동)",50,3.6,35,0,0.0
천하장사뷔페,고기,영업,제주특별자치도 제주시 연동 251-8 뉴제원 ,"제주특별자치도 제주시 제원1길 23, 2층 102호 (연동, 뉴제원)",112,4.5,16,0,0.0
투아일랜드,한식,영업,제주특별자치도 제주시 용담이동 445번지 ,"제주특별자치도 제주시 흥운길 101, 1~2층 (용담이동)",40,4.2,29,0,0.0
우도래요,카페,영업,제주특별자치도 제주시 우도면 연평리 2391-2번지 ,"제주특별자치도 제주시 우도면 우도해안길 360, 1층",71,4.0,1,0,0.0
바다는안보여요,분식,영업,제주특별자치도 제주시 구좌읍 종달리 884-1번지 ,제주특별자치도 제주시 구좌읍 종달로5길 31-1,35,4.2,34,0,0.0
돼지구이연구소,고기,영업,제주특별자치도 제주시 이도일동 1257-7번지 ,제주특별자치도 제주시 동광로1길 6 (이도일동),31,4.7,39,0,0.0
돈대가,고기,영업,제주특별자치도 제주시 용담일동 267-29번지 (1층) ,제주특별자치도 제주시 한천로 71 (용담일동),35,3.5,28,0,0.0
매기의추억,한식,영업,제주특별자치도 제주시 한림읍 귀덕리 4142-1번지 ,제주특별자치도 제주시 한림읍 한림해안로 595,47,4.2,44,0,0.0
숯불애,고기,영업,제주특별자치도 제주시 한경면 저지리 3136 ,"제주특별자치도 제주시 한경면 녹차분재로 504, 1층",36,4.5,37,0,0.0
오늘와인한잔,호프,영업,제주특별자치도 제주시 연동 273-34 ,"제주특별자치도 제주시 신대로16길 44, 1층 (연동)",35,5.0,7,0,0.0
돈뜰,고기,영업,제주특별자치도 제주시 한경면 저지리 2883 ,"제주특별자치도 제주시 한경면 녹차분재로 619, 1층",85,4.7,75,0,0.0
삼일해장국,한식,영업,제주특별자치도 제주시 애월읍 하귀1리 137-3 ,제주특별자치도 제주시 애월읍 하귀9길 14,47,3.9,33,0,0.0
토투가,카페,영업,제주특별자치도 제주시 한림읍 귀덕리 3020-2번지 ,"제주특별자치도 제주시 한림읍 귀덕9길 19, 1층",38,4.2,21,0,0.0
콜라,카페,영업,제주특별자치도 제주시 한림읍 귀덕리 1028번지 ,"제주특별자치도 제주시 한림읍 일주서로 5857, 1~2층",141,4.2,54,0,0.0
한경가든,한식,영업,제주특별자치도 제주시 한경면 고산리 3565-1 ,"제주특별자치도 제주시 한경면 노을해안로 1259, 1동 1층",100,4.0,42,0,0.0
